date;paymode;info;payee;memo;amount;category;tags
2.5.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
28.4.2023;6;;;DE33700202700005718473 (Mercedes-Benz Group);;;
28.4.2023;6;;;DE33700202700005718473 (Mercedes-Benz Group);;;
24.4.2023;6;;;DE07760000000076001615 (Bundesagentur für Arbeit - Familien);;;
20.4.2023;6;;;DE83500500000096564042 (RCI BANQUE S.A. NL Deutschland);;;
17.4.2023;6;;;DE84500604000012020802 (SG-VR Payment GmbH);;;
17.4.2023;6;;;DE84500604000012020802 (SG-VR Payment GmbH);;;
17.4.2023;6;;;DE11664926000009910808 (ZWEIRAD STADLER);;;
17.4.2023;6;;;DE07500500000000345678 (Rundfunk ARD, ZDF, DRadio);;;
17.4.2023;6;;;DE16700202700005713153 (Telefonica Germany GmbH + Co. OHG);;;
17.4.2023;6;;;DE47664926000001440411 (FAHRRAD XXL WALCHER);;;
14.4.2023;6;;;DE45512106004222555031 (ARAL AG);;;
14.4.2023;6;;;DE47664926000001440411 (FAHRRAD XXL WALCHER);;;
12.4.2023;6;;;DE97500400000589011600 (1+1 Telecom GmbH);;;
11.4.2023;6;;;DE29370100500828573500 (V PAY);;;
11.4.2023;6;;;DE92611616960256685002 (Rahmer Hausverwaltung GmbH Mietverw);;;
4.4.2023;6;;;DE72612901200302452001 (Intersport Leinfelden);;;
3.4.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
3.4.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
3.4.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
31.3.2023;6;;; ();;;
31.3.2023;6;;;DE33700202700005718473 (Mercedes-Benz Group);;;
30.3.2023;6;;;DE34600501010002490113 (moebelum Moebelhandelsgesellschaft);;;
27.3.2023;6;;;DE84500604000012020802 (SG-VR Payment GmbH);;;
22.3.2023;6;;;DE84500604000012020802 (SG-VR Payment GmbH);;;
20.3.2023;6;;;DE07760000000076001615 (Bundesagentur für Arbeit - Familien);;;
20.3.2023;6;;;DE84500604000012020802 (SG-VR Payment GmbH);;;
20.3.2023;6;;;DE93370400440500398300 (RCI BANQUE S.A. NL Deutschland);;;
16.3.2023;6;;;DE84500604000012020802 (SG-VR Payment GmbH);;;
13.3.2023;6;;;DE84500604000012020802 (SG-VR Payment GmbH);;;
13.3.2023;6;;;DE49700400410225563601 (Telefonica Germany GmbH + Co. OHG);;;
8.3.2023;6;;;DE97500400000589011600 (1+1 Telecom GmbH);;;
3.3.2023;6;;;DE92611616960256685002 (Rahmer Hausverwaltung GmbH Mietverw);;;
1.3.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
1.3.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
1.3.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
28.2.2023;6;;;DE33700202700005718473 (Mercedes-Benz Group);;;
21.2.2023;6;;;DE07760000000076001615 (Bundesagentur für Arbeit - Familien);;;
20.2.2023;6;;;DE52500500000096564018 (RCI BANQUE S.A. NL Deutschland);;;
20.2.2023;6;;;DE87300308801908262006 (AMAZON PAYMENTS EUROPE S.C.A.);;;
13.2.2023;6;;;DE16700202700005713153 (Telefonica Germany GmbH + Co. OHG);;;
8.2.2023;6;;;DE97500400000589011600 (1+1 Telecom GmbH);;;
3.2.2023;6;;;DE92611616960256685002 (Rahmer Hausverwaltung GmbH Mietverw);;;
2.2.2023;6;;;DE45512106004222555031 (ARAL AG);;;
2.2.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
1.2.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
1.2.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
1.2.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
31.1.2023;6;;;DE33700202700005718473 (Mercedes-Benz Group);;;
31.1.2023;6;;;DE89600100700953900707 (DMB Mieterverein Stuttgart und Umge);;;
27.1.2023;6;;;DE26600603960035606002 (Stogiannidis/Stogiannidou G);;;
23.1.2023;6;;;DE07760000000076001615 (Bundesagentur für Arbeit - Familien);;;
20.1.2023;6;;;DE26600603960035606002 (Stogiannidis/Stogiannidou G);;;
20.1.2023;6;;;DE52500500000096564018 (RCI BANQUE S.A. NL Deutschland);;;
16.1.2023;6;;;DE07500500000000345678 (Rundfunk ARD, ZDF, DRadio);;;
16.1.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
13.1.2023;6;;;DE49700400410225563601 (Telefonica Germany GmbH + Co. OHG);;;
11.1.2023;6;;;DE56502109000217199026 (EUROSHELL DEUTSCHLAND GMBH AND CO);;;
10.1.2023;6;;;DE97500400000589011600 (1+1 Telecom GmbH);;;
3.1.2023;6;;;DE92611616960256685002 (Rahmer Hausverwaltung GmbH Mietverw);;;
2.1.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
2.1.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
2.1.2023;6;;;DE72700100800001233803 (HUK-COBURG UNTERNEHMENSGRUPPE);;;
2.1.2023;6;;;DE72700100800001233803 (HUK-COBURG UNTERNEHMENSGRUPPE);;;
